Class,Accuracy,Precision,Recall,F1-Score,Support
Cardboard,0.8741573033707866,0.9373493975903614,0.8741573033707866,0.9046511627906977,445
Food Organics,0.9373433583959899,0.8577981651376146,0.9373433583959899,0.895808383233533,399
Glass,0.8878048780487805,0.9629629629629629,0.8878048780487805,0.9238578680203046,410
Metal,0.8798955613577023,0.8081534772182254,0.8798955613577023,0.8425,766
Miscellaneous Trash,0.7072164948453609,0.8285024154589372,0.7072164948453609,0.7630700778642937,485
Paper,0.9276859504132231,0.8487712665406427,0.9276859504132231,0.8864758144126358,484
Plastic,0.8743047830923248,0.8460710441334769,0.8743047830923248,0.8599562363238512,899
Textile Trash,0.7275641025641025,0.8972332015810277,0.7275641025641025,0.8035398230088495,312
Vegetation,0.9647887323943662,0.9383561643835616,0.9647887323943662,0.9513888888888888,426
