Class,Accuracy,Precision,Recall,F1-Score,Support
Cardboard,0.6539325842696629,0.6271551724137931,0.6539325842696629,0.6402640264026402,445
Food Organics,0.7744360902255639,0.653276955602537,0.7744360902255639,0.7087155963302753,399
Glass,0.5585365853658537,0.89453125,0.5585365853658537,0.6876876876876877,410
Metal,0.6331592689295039,0.5885922330097088,0.6331592689295039,0.610062893081761,766
Miscellaneous Trash,0.24329896907216494,0.42142857142857143,0.24329896907216494,0.3084967320261438,485
Paper,0.7210743801652892,0.6144366197183099,0.7210743801652892,0.6634980988593155,484
Plastic,0.6295884315906563,0.6233480176211453,0.6295884315906563,0.6264526840066409,899
Textile Trash,0.41346153846153844,0.4174757281553398,0.41346153846153844,0.41545893719806765,312
Vegetation,0.92018779342723,0.7205882352941176,0.92018779342723,0.8082474226804124,426
